"Barcode","Wine","Label"
"87735945","2013 Gundlach Bundschu Vintage Reserve","Drink 2023-2032 (CT) 
Sonoma, 5/9/2016 
Value: $104.72 "
"87735924","2012 Gundlach Bundschu Vintage Reserve","Drink 2016-2034 (CT) 
CT 92.5 
Sonoma, 5/9/2015 
Value: $93.18 "
"87735911","2011 Gundlach Bundschu Vintage Reserve","Drink 2016-2031 (CT) 
Sonoma, 5/9/2014 
Value: $84.46 "
"87736248","2010 Homewood Le Délice de la Vallée
Shenandoah Valley","CT 92 
Sonoma, 5/9/2017 
Value: $33.80 "
"87736249","2010 Homewood Le Délice de la Vallée
Shenandoah Valley","CT 92 
Sonoma, 5/9/2017 
Value: $33.80 "
"87736250","2010 Homewood Le Délice de la Vallée
Shenandoah Valley","CT 92 
Sonoma, 5/9/2017 
Value: $33.80 "
"87736251","2010 Homewood Le Délice de la Vallée
Shenandoah Valley","CT 92 
Sonoma, 5/9/2017 
Value: $33.80 "
"87736252","2010 Homewood Le Délice de la Vallée
Shenandoah Valley","CT 92 
Sonoma, 5/9/2017 
Value: $33.80 "
"87736253","2010 Homewood Le Délice de la Vallée
Shenandoah Valley","CT 92 
Sonoma, 5/9/2017 
Value: $33.80 "
"87736254","2010 Homewood Le Délice de la Vallée
Shenandoah Valley","CT 92 
Sonoma, 5/9/2017 
Value: $33.80 "
"87736255","2010 Homewood Le Délice de la Vallée
Shenandoah Valley","CT 92 
Sonoma, 5/9/2017 
Value: $33.80 "
"87736023","2013 Homewood Pinot Noir","Sonoma, 5/9/2017 "
"87736004","2012 Kunde Estate Zinfandel Reserve Century
Vines","Drink 2015-2018 (CT) 
CT 90.4 
Sonoma, 5/9/2014 
Value: $39.73 "
"87736266","NV Mountain Spirit Winery Symphony in Red","Salida, 5/9/2017 
Value: $18.00 "
"87736031","2012 Signaterra / Benziger Cabernet
Sauvignon Three Blocks","Drink 2018-2022 (CT) 
CT 90.5 
Sonoma, 5/9/2015 
Value: $44.65 "
"90196884","2015 Gundlach Bundschu Pinot Noir","CT 86 
7/19/2017 
Value: $34.76 "
"90196885","2015 Gundlach Bundschu Pinot Noir","CT 86 
7/19/2017 
Value: $34.76 "
"90196886","2015 Gundlach Bundschu Pinot Noir","CT 86 
7/19/2017 
Value: $34.76 "
"90196764","2015 Gundlach Bundschu Pinot Noir","CT 86 
7/19/2017 
Value: $34.76 "
"90196765","2015 Gundlach Bundschu Pinot Noir","CT 86 
7/19/2017 
Value: $34.76 "
"90609979","NV La Rochelle Pinot Noir Applellation
Series Russian River Valley","8/2/2017 "
"90609980","NV La Rochelle Pinot Noir Applellation
Series Russian River Valley","8/2/2017 "
"90609964","NV La Rochelle Pinot Noir Applellation
Series Russian River Valley","8/2/2017 "
"87736169","2014 La Rochelle Pinot Noir Bacigalupi
Vineyard Russian River","CT 90 
Sonoma, 5/9/2017 
Value: $56.00 "
"87736178","2014 La Rochelle Pinot Noir El Coro Vineyard","Drink 2017-2029 (CT) 
Sonoma, 5/9/2017 
Value: $51.26 "
"87736189","2013 La Rochelle Pinot Noir Lester Family
Vineyards Deer Park Vineyard","Drink by 2020 (CT) 
Sonoma, 5/9/2017 
Value: $58.95 "
"87736224","2012 La Rochelle Pinot Noir Recherché
Reserve Donum Estate Vineyard","Sonoma, 5/9/2017 
Value: $69.00 "
"87675005","2013 Camaraderie Cellars Sangiovese","CT 85 
Seattle, 5/7/2017 
Value: $25.33 "
"89147032","NV Colorado River Winery Jubilee","Bastrop, 6/19/2017 "
"89147061","NV Colorado River Winery Rocky Rapids Red","Bastrop, 6/19/2017 "
"88553216","2016 Gundlach Bundschu Gewürztraminer Estate
Vineyard","Drink 2017-2018 (CT) 
CT 87.8 
6/1/2017 
Value: $23.30 "
"88553217","2016 Gundlach Bundschu Gewürztraminer Estate
Vineyard","Drink 2017-2018 (CT) 
CT 87.8 
6/1/2017 
Value: $23.30 "
"88553218","2016 Gundlach Bundschu Gewürztraminer Estate
Vineyard","Drink 2017-2018 (CT) 
CT 87.8 
6/1/2017 
Value: $23.30 "
"88553219","2016 Gundlach Bundschu Gewürztraminer Estate
Vineyard","Drink 2017-2018 (CT) 
CT 87.8 
6/1/2017 
Value: $23.30 "
"87711156","2015 Gundlach Bundschu Gewürztraminer Estate
Vineyard","Drink 2016-2017 (CT) 
CT 87.4 
Sonoma, 5/8/2017 
Value: $20.50 "
"87711157","2015 Gundlach Bundschu Gewürztraminer Estate
Vineyard","Drink 2016-2017 (CT) 
CT 87.4 
Sonoma, 5/8/2017 
Value: $20.50 "
"90196658","2016 Gundlach Bundschu Pinot Noir Rhinefarm
Rosé","CT 89 
7/19/2017 
Value: $22.50 "
"90196659","2016 Gundlach Bundschu Pinot Noir Rhinefarm
Rosé","CT 89 
7/19/2017 
Value: $22.50 "
"87674641","2012 Homewood Sangiovese Megliorata","CT 87 
5/7/2017 
Value: $26.13 "
"87674713","2012 Homewood Zinfandel Hoskins","Drink 2016-2019 (CT) 
5/7/2017 
Value: $23.00 "
"87711226","2013 Domaine Mercouri Foloi","Greece, 5/8/2017 "
"87711186","2014 La Rochelle Chardonnay Recherché
Reserve Hays Estate Vineyard","Sonoma, 5/8/2017 "
"89146942","2015 Saddlehorn Winery Tempranillo","Texas, 6/19/2017 "
"87674866","NV Vino Salida Wine Cellars Vino Rosso di
Salida","Salida, 5/7/2017 
Value: $18.00 "
"88502689","2015 Driftwood Estate Winery Dry Rosé","5/30/2017 "
"88502715","2014 Driftwood Estate Winery Sangiovese","CT 89 
5/30/2017 
Value: $28.25 "
"87711270","2007 Gundlach Bundschu Cabernet Sauvignon
Estate Vineyard","Drink 2011-2019 (CT) 
CT 89.3 
Sonoma, 5/8/2017 
Value: $28.85 "
"87711287","1994 Gundlach Bundschu Cabernet Sauvignon
Rhinefarm Vineyard","Drink 1997-2005 (CT) 
CT 90 
Sonoma, 5/8/2017 
Value: $48.66 "
"87711309","1985 Gundlach Bundschu Cabernet Sauvignon
Rhinefarm Vineyard","Drink 1992-2012 (CT) 
Sonoma, 5/8/2017 
Value: $63.00 "
"90196703","2016 Gundlach Bundschu Gewürztraminer Estate
Vineyard","Drink 2017-2018 (CT) 
CT 87.8 
7/19/2017 
Value: $23.30 "
"90196704","2016 Gundlach Bundschu Gewürztraminer Estate
Vineyard","Drink 2017-2018 (CT) 
CT 87.8 
7/19/2017 
Value: $23.30 "
"87708552","2014 Gundlach Bundschu Mountain Cuvée","Drink 2017-2019 (CT) 
Sonoma, 5/8/2017 
Value: $16.85 "
"87711248","2014 Gundlach Bundschu Tempranillo Estate
Vineyard","Drink 2021-2024 (CT) 
CT 89.3 
Sonoma, 5/8/2017 
Value: $39.52 "
"90196732","2014 Gundlach Bundschu Zinfandel Estate
Vineyard Sonoma Valley","Drink 2019-2021 (CT) 
CT 88.3 
7/19/2017 
Value: $39.63 "
"87738550","2012 Homewood Petite Sirah","Drink by 2017 (CT) 
CT 84 
Sonoma, 5/9/2017 
Value: $28.67 "
"87708524","2012 Homewood Sangiovese Megliorata","CT 87 
Sonoma, 5/8/2017 
Value: $26.13 "
"87708561","2013 Larson Family Winery Millerick Road
Meritage","Drink 2016-2016 (CT) 
CT 87.8 
Sonoma, 5/8/2017 
Value: $26.46 "
"88502607","2014 Salt Lick Cellars GSM","Drink 2017-2018 (CT) 
5/30/2017 
Value: $28.33 "
"88502608","2014 Salt Lick Cellars GSM","Drink 2017-2018 (CT) 
5/30/2017 
Value: $28.33 "
"88503624","2015 The Austin Winery Old Vine Zin","MY 93 
5/30/2017 "
"88503625","2015 The Austin Winery Old Vine Zin","MY 93 
5/30/2017 "
"88503622","NV The Austin Winery Quarter Horse","CT 90 
5/30/2017 
Value: $22.98 "
"87708480","2012 Topel Syrah Noir - Cuvée Donnis","Drink 2016-2018 (CT) 
Healdsburg, 5/8/2017 "
"87711364","2014 Balletto Vineyards Chardonnay Cider
Ridge Vineyard Russian River Valley","Santa Rosa, 5/8/2017 
Value: $30.40 "
"88502846","NV Duchman Family Winery Canto Felice","5/30/2017 
Value: $15.53 "
"88502787","NV Duchman Family Winery Progression","Drink 2017-2018 (CT) 
5/30/2017 
Value: $37.90 "
"88502788","NV Duchman Family Winery Progression","Drink 2017-2018 (CT) 
5/30/2017 
Value: $37.90 "
"88502779","2015 Duchman Family Winery Vermentino
Bingham Family Vineyard","Drink 2015-2016 (CT) 
CT 88 
5/30/2017 
Value: $13.83 "
"88553300","2014 Gundlach Bundschu Cabernet Sauvignon","Drink 2019-2024 (CT) 
CT 87 
6/1/2017 
Value: $42.80 "
"88553301","2014 Gundlach Bundschu Cabernet Sauvignon","Drink 2019-2024 (CT) 
CT 87 
6/1/2017 
Value: $42.80 "
"88553407","2014 Gundlach Bundschu Merlot","Drink 2018-2020 (CT) 
CT 86.5 
6/1/2017 
Value: $31.61 "
"88553408","2014 Gundlach Bundschu Merlot","Drink 2018-2020 (CT) 
CT 86.5 
6/1/2017 
Value: $31.61 "
"87708569","2014 Gundlach Bundschu Mountain Cuvée","Drink 2017-2019 (CT) 
Sonoma, 5/8/2017 
Value: $16.85 "
"87738589","2014 Homewood Chardonnay","Sonoma, 5/9/2017 
Value: $22.82 "
"87738590","2014 Homewood Chardonnay","Sonoma, 5/9/2017 
Value: $22.82 "
"90610123","2015 Infinite Monkey Theorem The Hundredth
Monkey","8/2/2017 "
"87711397","2013 Monticello Vineyards (Corley Family)
Pinot Noir","Drink 2020-2026 (CT) 
CT 91 
Napa, 5/8/2017 
Value: $35.70 "
"89146893","NV Saddlehorn Winery Riesling","Texas, 6/19/2017 "
"87708619","2013 Stark Barbera Damiano Vineyard","Spec's, 5/8/2017 
Value: $20.22 "
"90609763","2015 The Austin Winery Merlot Opening
Ceremony","8/2/2017 
Value: $20.00 "
"90609764","2015 The Austin Winery Merlot Opening
Ceremony","8/2/2017 
Value: $20.00 "
"87708828","NV Vino Salida Wine Cellars Vino Rosso di
Salida","Salida, 5/8/2017 
Value: $18.00 "
"87711435","2015 Balletto Vineyards Pinot Noir","Santa Rosa, 5/8/2017 "
"87711436","2015 Balletto Vineyards Pinot Noir","Santa Rosa, 5/8/2017 "
"87711421","2014 Balletto Vineyards Pinot Noir 18 Barrel","Drink 2016-2019 (CT) 
Santa Rosa, 5/8/2017 
Value: $39.89 "
"87711412","2015 Balletto Vineyards Pinot Noir Emerson
Block Burnside Vineyard","Santa Rosa, 5/8/2017 
Value: $36.80 "
"87711413","2015 Balletto Vineyards Pinot Noir Emerson
Block Burnside Vineyard","Santa Rosa, 5/8/2017 
Value: $36.80 "
"87708844","NV Cálem Porto Old Friends Ruby Porto","CT 88 
Spec's, 5/8/2017 
Value: $13.26 "
"87708882","2015 Gundlach Bundschu Gewürztraminer Estate
Vineyard","Drink 2016-2017 (CT) 
CT 87.4 
Sonoma, 5/8/2017 
Value: $20.50 "
"87708883","2015 Gundlach Bundschu Gewürztraminer Estate
Vineyard","Drink 2016-2017 (CT) 
CT 87.4 
Sonoma, 5/8/2017 
Value: $20.50 "
"87738626","2013 Homewood Pinot Noir","Sonoma, 5/9/2017 "
"87738627","2013 Homewood Pinot Noir","Sonoma, 5/9/2017 "
"87738628","2013 Homewood Pinot Noir","Sonoma, 5/9/2017 "
"87738629","2013 Homewood Pinot Noir","Sonoma, 5/9/2017 "
"87738414","2012 Homewood Zinfandel Port","Sonoma, 5/9/2017 
Value: $25.75 "
"87738415","2012 Homewood Zinfandel Port","Sonoma, 5/9/2017 
Value: $25.75 "
"87738416","2012 Homewood Zinfandel Port","Sonoma, 5/9/2017 
Value: $25.75 "
"87708852","2014 Saddlehorn Winery Tempranillo","Texas, 5/8/2017 "
"87708853","2014 Saddlehorn Winery Tempranillo","Texas, 5/8/2017 "
"87708869","2013 The Austin Winery Merlot Work Horse","Austin, 5/8/2017 
Value: $20.67 "
"90609924","2015 The Austin Winery Old Vine Zin","MY 93 
8/2/2017 "
"87709021","2014 Balletto Vineyards Chardonnay Cider
Ridge Vineyard Russian River Valley","Santa Rosa, 5/8/2017 
Value: $30.40 "
"88503029","2015 Duchman Family Winery Dry Texas Rose","5/30/2017 "
"87738436","2014 Homewood Chardonnay","Sonoma, 5/9/2017 
Value: $22.82 "
"87738437","2014 Homewood Chardonnay","Sonoma, 5/9/2017 
Value: $22.82 "
"87736593","2013 Homewood Flying Wizzbanger","Sonoma, 5/9/2017 
Value: $20.75 "
"87736594","2013 Homewood Flying Wizzbanger","Sonoma, 5/9/2017 
Value: $20.75 "
"87736595","2013 Homewood Flying Wizzbanger","Sonoma, 5/9/2017 
Value: $20.75 "
"87736596","2013 Homewood Flying Wizzbanger","Sonoma, 5/9/2017 
Value: $20.75 "
"87736597","2013 Homewood Flying Wizzbanger","Sonoma, 5/9/2017 
Value: $20.75 "
"87738699","2012 Homewood Petite Sirah","Drink by 2017 (CT) 
CT 84 
Sonoma, 5/9/2017 
Value: $28.67 "
"87738445","2013 Homewood Pinot Noir","Sonoma, 5/9/2017 "
"87738446","2013 Homewood Pinot Noir","Sonoma, 5/9/2017 "
"87738686","2013 Homewood Tempranillo","Sonoma, 5/9/2017 
Value: $25.00 "
"87738687","2013 Homewood Tempranillo","Sonoma, 5/9/2017 
Value: $25.00 "
"87736646","2013 Homewood Zinfandel Hoskins","Sonoma, 5/9/2017 
Value: $23.21 "
"87736647","2013 Homewood Zinfandel Hoskins","Sonoma, 5/9/2017 
Value: $23.21 "
"87709269","NV Mountain Spirit Winery Angel Blush","Drink 2013-2015 (CT) 
CT 83 
Salida, 5/8/2017 
Value: $14.40 "
"87709270","NV Mountain Spirit Winery Angel Blush","Drink 2013-2015 (CT) 
CT 83 
Salida, 5/8/2017 
Value: $14.40 "
"87709310","2012 La Rochelle Chardonnay Rosella's
Vineyard","CT 87 
Sonoma, 5/8/2017 "
"87708899","2014 La Rochelle Pinot Meunier Parliament
Hill","Drink 2016-2019 (CT) 
CT 87.4 
Sonoma, 5/8/2017 
Value: $39.28 "
"87709848","2016 Bent Oak Winery Blanc du Bois","Cedar Park, 5/8/2017 "
"87709868","2016 Bent Oak Winery Roussanne La Pradera
VIneyards","CT 90 
Cedar Park, 5/8/2017 "
"87711444","2014 Gundlach Bundschu Pinot Noir","Drink 2017-2020 (CT) 
CT 89.8 
Sonoma, 5/8/2017 
Value: $35.32 "
"87738464","2013 Homewood Pinot Noir","Sonoma, 5/9/2017 "
"87711523","2011 Jason Stephens Winery Cabernet
Sauvignon Estate Santa Clara Valley","Drink 2015-2020 (CT) 
CT 85 
Gilroy, 5/8/2017 
Value: $20.89 "
"87709787","2015 La Rochelle Chardonnay Black Knight
Vineyard","Sonoma, 5/8/2017 
Value: $34.67 "
"87709801","2014 La Rochelle Chardonnay Black Knight
Vineyard","Sonoma, 5/8/2017 
Value: $43.29 "
"87709802","2014 La Rochelle Chardonnay Black Knight
Vineyard","Sonoma, 5/8/2017 
Value: $43.29 "
"87709757","2015 La Rochelle Chardonnay Recherché
Reserve Bacigalupi Vineyard","Sonoma, 5/8/2017 
Value: $60.67 "
"87711634","2012 La Rochelle Pinot Noir Experience
Londer Vineyard","Sonoma, 5/8/2017 "
"87711477","2012 La Rochelle Pinot Noir Paraiso Vineyard
Santa Lucia Highlands","CT 89.8 
Sonoma, 5/8/2017 
Value: $46.03 "
"87711603","2012 La Rochelle Pinot Noir Recherché
Reserve Soberanes Vineyard","Sonoma, 5/8/2017 
Value: $79.22 "
"87711497","2011 La Vie Wines Pinot Noir La Vie Blanc de
Noir McIntyre Vineyard","Spec's, 5/8/2017 
Value: $60.60 "
"87709824","NV Vino Salida Wine Cellars Honey bee vino","Salida, 5/8/2017 "
"87709825","NV Vino Salida Wine Cellars Honey bee vino","Salida, 5/8/2017 "
"87711663","2013 Banshee Pinot Noir Rice-Spivak","Drink 2016-2018 (CT) 
CT 88 
Healdsburg, 5/8/2016 
Value: $65.21 "
"87710306","2015 Bent Oak Winery Tempranillo Texas High
Plains","Cedar Park, 5/8/2017 "
"87711918","2013 Benziger Family Winery Pinot Noir de
Coelo Quintus Vineyard","Drink 2015-2019 (CT) 
CT 90 
Sonoma, 5/8/2015 
Value: $66.90 "
"87710151","2014 Driftwood Estate Winery Longhorn Red","CT 85 
Driftwood, 5/8/2017 
Value: $29.50 "
"87710193","2014 Driftwood Estate Winery Sangiovese","CT 89 
Driftwood, 5/8/2017 
Value: $28.25 "
"87710222","NV Duchman Family Winery Progression","Drink 2017-2018 (CT) 
Driftwood, 5/8/2017 
Value: $37.90 "
"87711677","2013 Dutton-Goldfield Pinot Noir Fox Den","Drink 2018-2024 (CT) 
CT 90.4 
Healdsburg, 5/8/2016 
Value: $56.26 "
"87710092","2014 Gundlach Bundschu Malbec","Drink 2016-2020 (CT) 
CT 85.5 
Sonoma, 5/8/2017 
Value: $41.73 "
"87710115","2014 Gundlach Bundschu Tempranillo Estate
Vineyard","Drink 2021-2024 (CT) 
CT 89.3 
Sonoma, 5/8/2017 
Value: $39.52 "
"87711756","2012 Imagery Estate Winery Petite Sirah","Drink 2016-2021 (CT) 
CT 90.8 
Sonoma, 5/8/2015 
Value: $41.30 "
"87711941","2013 Larson Family Winery Pinot Noir
Millerick Road","CT 87.5 
Sonoma, 5/8/2015 
Value: $24.60 "
"87711805","2012 Larson Family Winery Syrah","Drink 2016-2026 (CT) 
CT 89 
Sonoma, 5/8/2015 
Value: $26.75 "
"87711806","2012 Larson Family Winery Syrah","Drink 2016-2026 (CT) 
CT 89 
Sonoma, 5/8/2015 
Value: $26.75 "
"89146868","NV Saddlehorn Winery Barn Red","Texas, 6/19/2017 "
"89146869","NV Saddlehorn Winery Barn Red","Texas, 6/19/2017 "
"87710081","NV The Austin Winery","Austin, 5/8/2017 "
"87711865","2012 Topel Syrah Noir - Cuvée Donnis","Drink 2016-2018 (CT) 
Healdsburg, 5/8/2016 "
"87710420","2014 Balletto Vineyards Pinot Noir 18 Barrel","Drink 2016-2019 (CT) 
Santa Rosa, 5/8/2017 
Value: $39.89 "
"87710387","2014 Balletto Vineyards Pinot Noir Burnside
Road Vineyard","Drink starting 2020 (CT) 
Santa Rosa, 5/8/2017 
Value: $36.46 "
"87712106","2013 Cartograph Pinot Noir Choate Vineyard","Drink 2015-2019 (CT) 
CT 88 
Healdsburg, 5/8/2016 
Value: $46.25 "
"87712082","2013 Cartograph Pinot Noir Russian River
Valley","Drink 2015-2019 (CT) 
CT 88 
Healdsburg, 5/8/2016 
Value: $36.35 "
"87710361","2013 Homewood Flying Wizzbanger","Sonoma, 5/8/2017 
Value: $20.75 "
"87710362","2013 Homewood Flying Wizzbanger","Sonoma, 5/8/2017 
Value: $20.75 "
"87736555","2013 Homewood Flying Wizzbanger","Sonoma, 5/9/2017 
Value: $20.75 "
"87736661","2013 Homewood Zinfandel Hoskins","Sonoma, 5/9/2017 
Value: $23.21 "
"87736662","2013 Homewood Zinfandel Hoskins","Sonoma, 5/9/2017 
Value: $23.21 "
"87712036","2013 Larson Family Winery Pinot Noir
Millerick Road","CT 87.5 
Sonoma, 5/8/2017 
Value: $24.60 "
"87710483","NV Mountain Spirit Winery Apple Icewine","Drink 2013-2015 (CT) 
CT 85 
Salida, 5/8/2017 "
"87711963","2012 La Rochelle Pinot Noir Experience
Londer Vineyard","Sonoma, 5/8/2015 "
"87711964","2012 La Rochelle Pinot Noir Experience
Londer Vineyard","Sonoma, 5/8/2015 "
"87712004","2011 La Rochelle Pinot Noir Freestone Hill
Vineyard","CT 91 
Sonoma, 5/8/2015 
Value: $65.22 "
"89146810","NV Saddlehorn Winery Black Spanish","Texas, 6/19/2017 "
"89146811","NV Saddlehorn Winery Black Spanish","Texas, 6/19/2017 "
"87710463","NV Truett-Hurst Zinfandel Dessert Wine","Drink by 2015 (CT) 
CT 89 
Healdsburg, 5/8/2017 "
"87708516","2015 Bent Oak Winery Zinfandel","Cedar Park, 5/8/2017 "
"88502989","2015 Duchman Family Winery Sangiovese","5/30/2017 
Value: $22.00 "
"87674810","2014 Gundlach Bundschu Pinot Noir","Drink 2017-2020 (CT) 
CT 89.8 
Sonoma, 5/7/2017 
Value: $35.32 "
"87738465","2013 Homewood Pinot Noir","Sonoma, 5/9/2017 "
"87738417","2012 Homewood Zinfandel Port","Sonoma, 5/9/2017 
Value: $25.75 "
"90610070","2015 Infinite Monkey Theorem Merlot","8/2/2017 "
"87674958","2014 Pontotoc Vineyard Smoothing Iron
Mountain","Drink 2015-2017 (CT) 
Fredericksburg, 5/7/2017 
Value: $27.50 "
"87674193","2014 La Rochelle Pinot Meunier Parliament
Hill","Drink 2016-2019 (CT) 
CT 87.4 
5/7/2015 
Value: $39.28 "
"87736103","2012 La Rochelle Pinot Noir Recherché
Reserve Dutton Freestone","Sonoma, 5/9/2017 
Value: $75.36 "
"87739120","NV Wimberley Valley Wines Cellar Select White","Driftwood, 5/9/2017 
Value: $10.00 "
